Gene	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
blaTLA-2	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
oqxA	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-14	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
oqxA10	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
tmexC2	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
oqxA6	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaMOX-2	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-1163	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-300	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 
blaOXA-9	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaCARB-6	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
blaOXA-823	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
qnrS9	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
dfrB9	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
blaCMY-172	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
blaOXA-96	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
fosA5_fam	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
ant(3'')-IIa	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-309	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaOXA-645	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaTEM-150	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaBEL-1	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
dfrA22	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
aac(3)-Ia	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
blaGES-16	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
qnrD1	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaBIL-1	0 	0 	0 	0 	0 	1 	0 	0 	0 	0 
aph(6)-Smalt	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaVEB-4	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 
lsa(C)	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
vanH-F	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 
erm(52)	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaACT-99	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOXA-85	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
cml_Ochro	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaEC-14	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
spw	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
blaVIM-74	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
mcr-10.4	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaRATA-1	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
aadA15	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOKP-B-34	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
blaOKP-B-4	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
